id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
cc-by-sa-2.0-uk,Creative Commons Attribution Share Alike 2.0 England and Wales,,,"all,data",https://creativecommons.org/licenses/by-sa/2.0/uk/,spdx,
cc-by-sa-2.5,Creative Commons Attribution Share Alike 2.5 Generic,,cc-by-sa-icon,"all,data",https://creativecommons.org/licenses/by-sa/2.5/,spdx,
cc-by-sa-3.0,Creative Commons Attribution Share Alike 3.0 Unported,,cc-by-sa-icon,"all,data",https://creativecommons.org/licenses/by-sa/3.0/,spdx,
cc-by-sa-3.0-at,Creative Commons Attribution-Share Alike 3.0 Austria,,cc-by-sa-icon,"all,data",https://creativecommons.org/licenses/by-sa/3.0/at/,spdx,
cc-by-sa-4.0,Creative Commons Attribution Share Alike 4.0 International,Permits almost any use subject to providing credit and license notice. Frequently used for media assets and educational materials. The most common license for Open Access scientific publications. Not recommended for software.,cc-by-sa-icon,"recommended,all,data",https://creativecommons.org/licenses/by-sa/4.0/,spdx,
cc-pddc,Creative Commons Public Domain Dedication and Certification,,cc-pddc-icon,all,https://creativecommons.org/licenses/publicdomain/,spdx,
cc0-1.0,Creative Commons Zero v1.0 Universal,CC0 waives copyright interest in a work you've created and dedicates it to the world-wide public domain. Use CC0 to opt out of copyright entirely and ensure your work has the widest reach.,cc-cc0-icon,"recommended,all,data,software",https://creativecommons.org/publicdomain/zero/1.0/,spdx,
cddl-1.0,Common Development and Distribution License 1.0,,,"all,software",https://opensource.org/license/cddl-1-0,spdx,y
cddl-1.1,Common Development and Distribution License 1.1,,,"all,software",https://spdx.org/licenses/CDDL-1.1,spdx,
cdla-permissive-1.0,Community Data License Agreement Permissive 1.0,,,"all,data",https://spdx.org/licenses/CDLA-Permissive-1.0,spdx,
cdla-sharing-1.0,Community Data License Agreement Sharing 1.0,,,"all,data",https://spdx.org/licenses/CDLA-Sharing-1.0,spdx,
cecill-1.0,CeCILL Free Software License Agreement v1.0,,,"all,software",https://spdx.org/licenses/CECILL-1.0,spdx,
cecill-1.1,CeCILL Free Software License Agreement v1.1,,,"all,software",https://spdx.org/licenses/CECILL-1.1,spdx,
cecill-2.0,CeCILL Free Software License Agreement v2.0,,,"all,software",https://spdx.org/licenses/CECILL-2.0,spdx,
cecill-2.1,CeCILL Free Software License Agreement v2.1,,,"all,software",https://opensource.org/license/cecill-2-1,spdx,y
